"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003013","circulatory system process","129/1520","495/14866",0.260606060606061,2.54879585326954,11.8272008600786,1.53346581722557e-24,6.61317090571488e-21,6.61317090571488e-21,"RASL10B/SCN2B/KLF2/RARRES2/CASQ2/ACSM3/PCSK5/PTGS2/ANK2/FERMT2/CLDN5/ADM/MYL3/KCNA5/SLC5A1/AKAP12/AVPR1A/LRP1/BIN1/ABCB1/SLC16A7/SGCG/TRDN/ZEB2/HBB/KLK3/BMP6/SLCO1C1/ABCG2/MYL7/SLC8A3/CXCL12/SLC2A4/ADIPOQ/YAP1/NOS1/CAV1/SLC16A12/KLK2/ADRA2A/HCN1/SCN11A/PDE2A/SCN4A/SCN3A/GSTM2/DMD/TEK/ITGA9/MME/JPH2/ATP2B4/ADRA1A/EMILIN2/CD36/ATP1A2/SLC22A3/DRD2/AVPR2/PPARA/GSN/ABCC9/SERPING1/UTS2B/ADRA2B/SCN7A/OXTR/ANGPT1/PER2/KCNE1/TACR1/CLIC2/DES/SCN3B/LEP/SCN5A/CDH5/TBX18/NPR2/HTR2A/CTNNA3/ITGB1BP1/ACVRL1/ITGA1/PECAM1/SLC7A3/RGS2/TRPC1/SCN4B/HRC/CACNA2D1/PPARG/ADD3/SCN2A/EDNRB/SGK1/ATP1B2/NPR3/KCNIP2/CACNA1G/EDN1/KCNJ2/C2CD4B/CTSG/CELF2/PDE1C/CPS1/NPR1/SLIT2/SVEP1/CMA1/SLC29A4/LEPR/KCNJ8/SPX/KCNIP1/SLC1A3/ADRB2/PLN/HSPB7/ACTC1/KAT2B/TAC1/ACE2/JPH4/EDN3/SCN9A/ADRB1/KL",129
"GO:0001525","angiogenesis","127/1520","486/14866",0.261316872427984,2.55574777994369,11.7681060111353,2.75319354942335e-24,6.61317090571488e-21,6.61317090571488e-21,"TNMD/KLF2/NRXN1/HSPB6/SERPINF1/MEOX2/S1PR1/ECSCR/PTGS2/CLDN5/PTPRB/ADM/ANXA3/CCL24/ID1/NR4A1/AMOTL1/KDR/FGF2/EPHB1/CD34/F3/FGF1/PRKD1/PTGIS/KLK3/JAM3/CCL2/ADAMTS9/NGFR/MIR205/FBLN5/NODAL/STAB2/FOXO4/ADGRA2/MMP19/ARHGAP24/MMRN1/HOXA5/RHOJ/RGCC/RECK/SPRY2/TEK/ATP2B4/TGFBR3/EMILIN2/CD36/NRP1/ANXA1/HYAL1/NDNF/EPAS1/RAPGEF3/SASH1/RASIP1/CLEC14A/VEGFD/ANGPT1/CD93/SOX17/IL6/ACKR3/MMRN2/PRKCA/PDGFA/LEP/CALCRL/CDH5/QKI/TGFBR2/GPLD1/MIR145/THSD7A/NPR2/RSPO3/SEMA6A/ITGB1BP1/GPR15/TIE1/MCAM/ACVRL1/ANGPT4/EGF/CCBE1/PPARG/BMPER/TLR3/HOXA7/PTPRM/C6/NPR3/HOXA3/ANGPTL4/ADGRB3/PARVA/FGFBP1/APOLD1/PDGFRA/ADAMTS1/SEMA5A/NPR1/NOTCH4/TWIST1/SLIT2/CDH13/HIF3A/CMA1/COL4A3/ISM1/ROBO4/C3/LEPR/PPP1R16B/AMOTL2/KLF4/DAB2IP/SFRP1/CCN3/PDE3B/EGR3/APOD/FLT4/DCN/AQP1/EPHA2",127
"GO:0008015","blood circulation","114/1520","415/14866",0.274698795180723,2.6866265060241,11.760416682884,8.02597196991656e-24,1.28522564478264e-20,1.28522564478264e-20,"RASL10B/SCN2B/KLF2/RARRES2/CASQ2/ACSM3/PCSK5/PTGS2/ANK2/FERMT2/CLDN5/ADM/MYL3/KCNA5/AKAP12/AVPR1A/BIN1/SGCG/TRDN/ZEB2/HBB/KLK3/BMP6/MYL7/SLC8A3/CXCL12/ADIPOQ/NOS1/CAV1/KLK2/ADRA2A/HCN1/SCN11A/PDE2A/SCN4A/SCN3A/GSTM2/DMD/TEK/ITGA9/MME/JPH2/ATP2B4/ADRA1A/EMILIN2/ATP1A2/DRD2/AVPR2/PPARA/GSN/ABCC9/SERPING1/UTS2B/ADRA2B/SCN7A/OXTR/ANGPT1/PER2/KCNE1/TACR1/CLIC2/DES/SCN3B/LEP/SCN5A/CDH5/TBX18/NPR2/HTR2A/CTNNA3/ITGB1BP1/ACVRL1/ITGA1/PECAM1/RGS2/TRPC1/SCN4B/HRC/CACNA2D1/PPARG/ADD3/SCN2A/EDNRB/SGK1/ATP1B2/NPR3/KCNIP2/CACNA1G/EDN1/KCNJ2/C2CD4B/CTSG/CELF2/PDE1C/CPS1/NPR1/SLIT2/SVEP1/CMA1/KCNJ8/SPX/KCNIP1/ADRB2/PLN/HSPB7/ACTC1/KAT2B/TAC1/ACE2/JPH4/EDN3/SCN9A/ADRB1/KL",114
"GO:0044057","regulation of system process","117/1520","467/14866",0.250535331905782,2.45030147638905,10.7468021613518,8.24269357510761e-21,9.89947498370424e-18,9.89947498370424e-18,"ABCG8/SCN2B/NRXN1/RELN/CASQ2/PRKN/ANK2/ADM/MYL3/KCNA5/AVPR1A/BIN1/CRY2/PRKD1/TRDN/GRIN2B/BMP6/PTGER3/CHRNA2/SLC8A3/SOX10/CBLN1/ADIPOQ/KCNA1/ADGRD1/TMEM100/NOS1/CAV1/NLGN4X/ADRA2A/HCN1/SCN4A/IGF1/GSTM2/DMD/ITGA9/AKAP6/JPH2/ATP2B4/ADRA1A/NR4A3/CRHBP/ATP1A2/DRD2/AVPR2/NPY2R/JAM2/PPARA/ABCC9/ADRA2B/MYOCD/FOXO1/OXTR/PER2/SHANK3/KCNE1/TACR1/CLIC2/DES/PRKCA/SCN3B/LEP/SCN5A/QKI/MYL9/GNAI1/MIR145/TBX18/HTR2A/CTNNA3/S100B/ECRG4/RGS2/LPIN1/TRPC1/SCN4B/HRC/CACNA2D1/TPPP/PPARG/PPP1R12B/ADD3/CNN1/EGR2/KIT/EDNRB/TNNT3/ATP1B2/NPR3/KCNIP2/CACNA1G/EDN1/KCNJ2/NLGN1/CELF2/PDE1C/NPR1/MGLL/OPRPN/SVEP1/FBXO32/KLF4/SPX/MLIP/CCN3/KCNIP1/ADRB2/PLN/HSPB7/TAC1/ACE2/C1QTNF1/AQP1/JPH4/EDN3/ADRB1/MSTN",117
"GO:0003012","muscle system process","104/1520","413/14866",0.25181598062954,2.46282655792022,10.1746048462621,8.92709046720076e-19,8.57714852088649e-16,8.57714852088649e-16,"SCN2B/CASQ2/ANK2/MYL3/KCNA5/BIN1/NMUR1/PRKD1/TRDN/PTGER3/SLC8A3/CLCN1/CKMT2/KCNA1/ADGRD1/NOS1/CAV1/TMOD1/ADRA2A/SCN11A/SYNM/LMOD1/SCN4A/IGF1/SCN3A/GSTM2/DMD/AKAP6/RYR3/JPH2/ATP2B4/ADRA1A/NR4A3/ATP1A2/MYH11/MYOZ2/DRD2/STAC2/PPARA/GSN/UTRN/ADRA2B/MYOCD/FOXO1/SCN7A/OXTR/KCNE1/TACR1/CLIC2/SORBS2/DES/PRKCA/ACTA2/MYH3/SCN3B/LEP/SCN5A/MYL9/GNAI1/MIR145/HTR2A/KLF15/CTNNA3/MYLK/MYOM2/RGS2/SCN4B/HRC/CACNA2D1/PPARG/PPP1R12B/MYOC/CNN1/KIT/SCN2A/EDNRB/TNNT3/NPR3/SSPN/KCNIP2/CACNA1G/EDN1/KCNJ2/SGCA/FBXO32/KLF4/KCNJ8/SPX/MLIP/CA3/KCNIP1/ADRB2/PLN/MYH2/ACTC1/MYH1/P2RX6/ACE2/JPH4/EDN3/TMOD2/SCN9A/MSTN/CRYAB",104
"GO:0006936","muscle contraction","86/1520","331/14866",0.259818731117825,2.54109556368262,9.56896000917594,1.33477074581549e-16,1.06870644381627e-13,1.06870644381627e-13,"SCN2B/CASQ2/ANK2/MYL3/KCNA5/BIN1/NMUR1/PRKD1/TRDN/PTGER3/SLC8A3/CLCN1/CKMT2/KCNA1/ADGRD1/NOS1/CAV1/TMOD1/ADRA2A/SCN11A/SYNM/LMOD1/SCN4A/SCN3A/GSTM2/DMD/RYR3/JPH2/ATP2B4/ADRA1A/ATP1A2/MYH11/DRD2/STAC2/GSN/UTRN/ADRA2B/MYOCD/SCN7A/OXTR/KCNE1/TACR1/CLIC2/DES/ACTA2/MYH3/SCN3B/SCN5A/MYL9/MIR145/HTR2A/CTNNA3/MYLK/MYOM2/RGS2/SCN4B/HRC/CACNA2D1/PPP1R12B/CNN1/KIT/SCN2A/EDNRB/TNNT3/SSPN/KCNIP2/CACNA1G/EDN1/KCNJ2/SGCA/KCNJ8/SPX/CA3/KCNIP1/ADRB2/PLN/MYH2/ACTC1/MYH1/P2RX6/ACE2/JPH4/EDN3/TMOD2/SCN9A/CRYAB",86
"GO:0060047","heart contraction","61/1520","204/14866",0.299019607843137,2.92449045407637,9.34034521477556,3.92589405770798e-15,2.69428500760416e-12,2.69428500760416e-12,"SCN2B/CASQ2/ANK2/ADM/MYL3/KCNA5/AVPR1A/BIN1/SGCG/TRDN/MYL7/SLC8A3/NOS1/CAV1/HCN1/SCN11A/SCN4A/SCN3A/GSTM2/DMD/JPH2/ATP2B4/ADRA1A/ATP1A2/DRD2/GSN/ABCC9/SCN7A/KCNE1/CLIC2/DES/SCN3B/SCN5A/TBX18/CTNNA3/RGS2/TRPC1/SCN4B/HRC/CACNA2D1/SCN2A/EDNRB/ATP1B2/KCNIP2/CACNA1G/EDN1/KCNJ2/CELF2/KCNJ8/SPX/KCNIP1/ADRB2/PLN/HSPB7/ACTC1/TAC1/ACE2/JPH4/EDN3/SCN9A/ADRB1",61
"GO:0003015","heart process","62/1520","212/14866",0.292452830188679,2.86026564051639,9.20647741247829,7.36768780147626e-15,4.42429652478649e-12,4.42429652478649e-12,"SCN2B/CASQ2/ANK2/ADM/MYL3/KCNA5/AVPR1A/BIN1/SGCG/TRDN/MYL7/SLC8A3/YAP1/NOS1/CAV1/HCN1/SCN11A/SCN4A/SCN3A/GSTM2/DMD/JPH2/ATP2B4/ADRA1A/ATP1A2/DRD2/GSN/ABCC9/SCN7A/KCNE1/CLIC2/DES/SCN3B/SCN5A/TBX18/CTNNA3/RGS2/TRPC1/SCN4B/HRC/CACNA2D1/SCN2A/EDNRB/ATP1B2/KCNIP2/CACNA1G/EDN1/KCNJ2/CELF2/KCNJ8/SPX/KCNIP1/ADRB2/PLN/HSPB7/ACTC1/TAC1/ACE2/JPH4/EDN3/SCN9A/ADRB1",62
"GO:1903522","regulation of blood circulation","61/1520","219/14866",0.278538812785388,2.72418288872867,8.67480533418655,1.37476396453589e-13,7.33818453958935e-11,7.33818453958935e-11,"SCN2B/CASQ2/ANK2/ADM/MYL3/KCNA5/AVPR1A/BIN1/TRDN/SLC8A3/NOS1/CAV1/ADRA2A/HCN1/GSTM2/DMD/ITGA9/JPH2/ATP2B4/ADRA1A/ATP1A2/DRD2/AVPR2/ABCC9/ADRA2B/OXTR/PER2/KCNE1/TACR1/CLIC2/DES/SCN3B/LEP/SCN5A/TBX18/HTR2A/CTNNA3/RGS2/TRPC1/SCN4B/HRC/CACNA2D1/ADD3/EDNRB/ATP1B2/KCNIP2/CACNA1G/EDN1/KCNJ2/CELF2/SVEP1/SPX/KCNIP1/ADRB2/PLN/HSPB7/TAC1/ACE2/JPH4/EDN3/ADRB1",61
"GO:1901342","regulation of vasculature development","71/1520","280/14866",0.253571428571429,2.47999530075188,8.43723096719109,2.34064232349614e-13,1.12444457220754e-10,1.12444457220755e-10,"TNMD/KLF2/HSPB6/SERPINF1/ECSCR/CLDN5/ADM/ANXA3/CCL24/KDR/FGF2/CD34/F3/FGF1/PRKD1/PTGIS/KLK3/ADAMTS9/CXCL12/MIR205/FBLN5/NODAL/FOXO4/ADGRA2/HOXA5/RHOJ/RGCC/RECK/SPRY2/TEK/ATP2B4/EMILIN2/CD36/NRP1/HYAL1/RAPGEF3/SASH1/IL6/PRKCA/LEP/CDH5/QKI/MIR145/SEMA6A/TIE1/ANGPT4/CCBE1/PPARG/BMPER/TLR3/PTPRM/C6/ANGPTL4/ADGRB3/ADAMTS1/SEMA5A/NPR1/TWIST1/CMA1/COL4A3/ISM1/C3/PPP1R16B/KLF4/DAB2IP/ANGPTL7/SFRP1/PDE3B/DCN/AQP1/EPHA2",71
