"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","111/2174","377/14866",0.294429708222812,2.0133358060903,8.24806457608706,6.17920377972423e-14,3.19155875222756e-10,3.19155875222756e-10,"ZWILCH/DCAF13/REEP4/CDC25C/ANAPC11/P3H4/KIF18B/SPAG5/NCAPG2/CDCA8/TDRKH/ANLN/KIF15/RAD51/SGO1/KIF18A/HASPIN/CENPS/TPX2/RAD51AP1/TUBG1/NEK2/REC8/ZWINT/RAD54B/EME1/CDCA2/KIF4A/MKI67/AURKB/CENPA/KIF23/RRS1/CHMP4BP1/EPGN/UBE2C/KNL1/NCAPG/CENPK/RCC1/BRCA2/CENPF/MAD2L1/PTTG1/TRIP13/HSF2BP/EME2/CDK1/UBE2S/PKMYT1/DLGAP5/TUBB8/FANCD2/KIF2C/SMC4/PLK1/TDRD12/NDC80/MAEL/KNTC1/GEN1/CENPX/BUB1/SPC24/FBXO43/CEP85/CENPE/RMI1/SKA1/RAD21/BRDT/CHEK1/TOP2A/NCAPH/TEX14/TEX11/KIF11/SGO2/CENPI/KIF14/KIFC1/CDT1/ESPL1/BIRC5/UHRF1/KIF22/SPIRE2/MAPK15/KNSTRN/AURKA/KASH5/MISP/SKA3/RAD54L/BUB1B/SYCP2/NUF2/MYBL1/HORMAD1/CDC20/SPC25/PRC1/TTK/SYCE3/RACGAP1/TESMIN/PSRC1/BRIP1/MAJIN/CCNB1/BUB3",111
"GO:1903046","meiotic cell cycle process","57/2174","155/14866",0.367741935483871,2.51465115588925,7.84520988529336,6.11339110558766e-12,1.23535358401236e-08,1.23535358401236e-08,"DCAF13/CDC25C/P3H4/TDRKH/RAD51/SGO1/CENPS/RAD51AP1/TUBG1/REC8/ZWINT/RAD54B/EME1/KNL1/BRCA2/PTTG1/TRIP13/HSF2BP/EME2/PKMYT1/TUBB8/FANCD2/SMC4/TDRD12/NDC80/MAEL/CENPX/FBXO43/RMI1/SKA1/RAD21/BRDT/TOP2A/NCAPH/TEX14/TEX11/SGO2/CDC25A/HUS1B/ESPL1/SPIRE2/MAPK15/AURKA/KASH5/SKA3/RAD54L/SYCP2/NUF2/MYBL1/HORMAD1/CDC20/CDC25B/TTK/SYCE3/TESMIN/BRIP1/MAJIN",57
"GO:0048285","organelle fission","115/2174","423/14866",0.271867612293144,1.85905424303122,7.41838314838761,7.57447844912565e-12,1.23535358401236e-08,1.23535358401236e-08,"ZWILCH/DCAF13/REEP4/CDC25C/ANAPC11/P3H4/KIF18B/SPAG5/NCAPG2/CDCA8/TDRKH/ANLN/KIF15/RAD51/SGO1/KIF18A/HASPIN/CENPS/TPX2/RAD51AP1/TUBG1/NEK2/REC8/ZWINT/RAD54B/EME1/CDCA2/KIF4A/MKI67/AURKB/CENPA/KIF23/GDAP1/RRS1/CHMP4BP1/EPGN/UBE2C/KNL1/NCAPG/CENPK/RCC1/MTFP1/BRCA2/CENPF/MAD2L1/PTTG1/TRIP13/HSF2BP/EME2/CDK1/UBE2S/PKMYT1/DLGAP5/TUBB8/FANCD2/KIF2C/MTFR2/SMC4/PLK1/MYO19/TDRD12/NDC80/MAEL/KNTC1/GEN1/CENPX/BUB1/SPC24/FBXO43/CEP85/CENPE/RMI1/SKA1/RAD21/BRDT/CHEK1/TOP2A/NCAPH/TEX14/TEX11/KIF11/SGO2/CENPI/KIF14/KIFC1/CDT1/ESPL1/BIRC5/UHRF1/KIF22/SPIRE2/MAPK15/KNSTRN/AURKA/KASH5/MISP/SKA3/RAD54L/BUB1B/SYCP2/NUF2/MYBL1/HORMAD1/CDC20/SPC25/PRC1/TTK/SYCE3/RACGAP1/TESMIN/PSRC1/BRIP1/MAJIN/CCNB1/BUB3",115
"GO:0000075","cell cycle checkpoint signaling","64/2174","186/14866",0.344086021505376,2.35288997042269,7.68427885188258,9.56711391297084e-12,1.23535358401236e-08,1.23535358401236e-08,"ZWILCH/CDCA8/TELO2/CDC7/BLM/RAD51/HASPIN/CDC6/PARP9/ZWINT/TIMELESS/ORC1/EME1/AURKB/CDC45/KNL1/BRCA2/DONSON/E2F1/CENPF/MAD2L1/TRIP13/WDR76/EME2/CDK1/FANCD2/BARD1/DNA2/RFC2/FBXO6/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/RFC4/SKA1/CAMSAP3/DTL/CHEK1/CLSPN/TEX14/BRCA1/MUC1/HUS1B/CDT1/BIRC5/CCND1/TICRR/SKA3/H2AX/BUB1B/BRSK1/NUF2/HORMAD1/CDC20/SPC25/DBF4/INTS7/TTK/BRIP1/CCNB1/BUB3",64
"GO:0019730","antimicrobial humoral response","48/2174","122/14866",0.39344262295082,2.6903946792948,7.75903241483111,1.76025629866764e-11,1.81834475652367e-08,1.81834475652367e-08,"CXCL10/TOR2A/IGHG1/LYZ/H2BC4/CXCL13/H2BC21/H2BC9/H2BC6/H2BC11/CCL5/WFDC3/IGHE/CCL19/H2BC7/IGHM/H2BC17/S100A7/CCL7/KRT6A/S100A9/CCL11/SLC11A1/PRTN3/FGB/CXCL9/IGHG3/CST9L/DCD/IGHG4/WFDC2/H2BC5/CCL20/CCL17/H2BC8/H2BC15/GAPDH/PGLYRP4/PRSS2/CST9/AZU1/H2BC19P/IGHG2/H2BC13/CAMP/H2BC18/CXCL11/H2BC12",48
"GO:1905818","regulation of chromosome separation","36/2174","79/14866",0.455696202531646,3.11609003994271,7.80467543452055,4.13222502007099e-11,2.96840205075533e-08,2.96840205075533e-08,"ZWILCH/ANAPC11/NCAPG2/CDCA8/HASPIN/ZWINT/AURKB/UBE2C/KNL1/NCAPG/CENPF/MAD2L1/TRIP13/DLGAP5/SMC4/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/NCAPH/TEX14/ESPL1/BIRC5/MAPK15/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",36
"GO:0098813","nuclear chromosome segregation","86/2174","292/14866",0.294520547945205,2.01395697596754,7.24217084178892,4.23663972834287e-11,2.96840205075533e-08,2.96840205075533e-08,"ZWILCH/DCAF13/ANAPC11/P3H4/KIF18B/SPAG5/NCAPG2/CDCA8/KIF15/SGO1/KIF18A/HASPIN/CDC6/DPF1/TPX2/TUBG1/NEK2/ZWINT/KIF4A/DSN1/AURKB/CENPA/KIF23/RRS1/CHMP4BP1/UBE2C/KNL1/NCAPG/CENPK/RCC1/CENPF/MAD2L1/PTTG1/TRIP13/CDK1/DLGAP5/TUBB8/FANCD2/KIF2C/SMC4/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/CENPE/SKA1/RAD21/ECT2/TOP2A/NCAPH/TEX14/TEX11/KIF11/SGO2/CENPI/KIF14/KIFC1/CDT1/ESPL1/BIRC5/UHRF1/KIF22/MAPK15/KNSTRN/KASH5/MISP/SKA3/BUB1B/SYCP2/NUF2/HORMAD1/CDC20/SPC25/PRC1/TTK/SYCE3/RACGAP1/TACC3/RCC2/PSRC1/RMI2/MAJIN/CCNB1/BUB3",86
"GO:0071459","protein localization to chromosome, centromeric region","20/2174","29/14866",0.689655172413793,4.71592170795927,8.28971692540037,4.88621186513002e-11,2.96840205075533e-08,2.96840205075533e-08,"ZWILCH/H4C9/H4C12/MTBP/HASPIN/H2BC11/H4C14/AURKB/CENPA/KNL1/H4C5/CDK1/KNTC1/H4C8/H4C4/H2AC8/TTK/H4C11/RCC2/BUB3",20
"GO:0007059","chromosome segregation","106/2174","390/14866",0.271794871794872,1.85855683721369,7.11089494247346,5.1724333895059e-11,2.96840205075533e-08,2.96840205075533e-08,"ZWILCH/DCAF13/ANAPC11/P3H4/KIF18B/SPAG5/NCAPG2/CDCA8/KIF15/SGO1/KIF18A/HASPIN/CDC6/DPF1/CENPS/TPX2/CENPO/TUBG1/NEK2/REC8/ZWINT/SAC3D1/CDCA2/KIF4A/MKI67/DSN1/AURKB/CENPA/KIF23/RRS1/CHMP4BP1/UBE2C/KNL1/NCAPG/CENPK/RCC1/CENPF/MAD2L1/PTTG1/TRIP13/CDK1/CENPP/MTCL1/DLGAP5/CENPH/TUBB8/FANCD2/CENPU/KIF2C/HJURP/SMC4/PLK1/NDC80/KNTC1/GEN1/CENPX/BUB1/SPC24/CEP85/CENPE/SKA1/RAD21/ECT2/TOP2A/STIL/NCAPH/TEX14/TEX11/KIF11/SGO2/CENPI/KIF14/BRCA1/KIFC1/CDT1/ESPL1/BIRC5/UHRF1/KIF22/MAPK15/CENPN/KNSTRN/KASH5/MISP/CENPW/SKA3/BUB1B/SYCP2/NUF2/HORMAD1/CDC20/SPC25/CENPM/PRC1/CENPL/TTK/SYCE3/RACGAP1/TACC3/RCC2/GPSM2/PSRC1/RMI2/MAJIN/CCNB1/BUB3",106
"GO:0140013","meiotic nuclear division","49/2174","131/14866",0.374045801526718,2.55775753702676,7.41152595574402,9.1627994137413e-11,4.73258589719738e-08,4.73258589719738e-08,"DCAF13/P3H4/TDRKH/RAD51/SGO1/CENPS/RAD51AP1/REC8/ZWINT/RAD54B/EME1/KNL1/BRCA2/PTTG1/TRIP13/HSF2BP/EME2/TUBB8/FANCD2/SMC4/TDRD12/NDC80/MAEL/CENPX/FBXO43/RMI1/SKA1/RAD21/BRDT/TOP2A/NCAPH/TEX14/TEX11/SGO2/ESPL1/SPIRE2/MAPK15/KASH5/SKA3/RAD54L/SYCP2/NUF2/MYBL1/HORMAD1/TTK/SYCE3/TESMIN/BRIP1/MAJIN",49
