"pathway","pval","padj","log2err","ES","NES","size","pathway_label"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",1.14186099320191e-10,1.27888431238614e-08,0.839088935621274,0.825607615732449,2.56064898256833,24,"Reference Dna Replication Licensing"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",6.34840670877619e-11,1.27888431238614e-08,0.839088935621274,0.791150301391603,2.57094009141891,30,"Reference Origin Unwinding and Elongation"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",1.73198111648711e-10,1.29321256697705e-08,0.826657301178302,0.860175451825044,2.49918061301148,19,"Reference Organization of the Outer Kinetochore"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",2.52482877044283e-10,1.41390411144799e-08,0.814035837847908,0.789563811038188,2.49863201820449,27,"Reference Pre Ic Formation"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",1.24198447792123e-08,5.56409046108711e-07,0.747739663149885,0.732046958935799,2.43108938377432,32,"Reference Homologous Recombination"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE",3.64154260690953e-08,1.35950923991289e-06,0.719512826338911,0.839059578583813,2.3812822028801,17,"Reference Organization of the Inner Kinetochore"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",3.00421800025936e-07,9.61349760082996e-06,0.674962860011025,0.812836501247831,2.30686013684479,17,"Reference Long Patch Ber"
"KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY",7.07179865675827e-07,1.98010362389232e-05,0.659444398037935,-0.512219786566825,-2.18818577811762,74,"Reference Gf Rtk Pi3k Signaling Pathway"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",1.05127517072976e-06,2.61650709159406e-05,0.643551836150722,0.657532968114499,2.23546476779528,35,"Variant Mutation Caused Aberrant Htt to 26s Proteasome Mediated Protein Degradation"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY",1.53156842680305e-06,3.43071327603884e-05,0.643551836150722,-0.489678863454602,-2.10985763430087,80,"Reference Gf Rtk Ras Pi3k Signaling Pathway"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",1.69970999928761e-06,3.46122763491295e-05,0.643551836150722,0.649462467121106,2.20802687265685,35,"Variant Mutation Caused Aberrant Abeta to 26s Proteasome Mediated Protein Degradation"
"KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC",2.04996572765126e-06,3.82660269161569e-05,0.627256739718528,0.786356336918051,2.2317084483863,17,"Reference Disassembly of Mcc"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",2.38915873342206e-06,4.11670427912724e-05,0.627256739718528,0.624899264927465,2.17228122344482,40,"Variant Mutation Caused Aberrant Sod1 to 26s Proteasome Mediated Protein Degradation"
"KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY",2.67847142366222e-06,4.28555427785955e-05,0.627256739718528,0.761579623305215,2.21271721459927,19,"Reference Fanconi Anemia Pathway"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR",3.1735296212709e-06,4.73913756776455e-05,0.627256739718528,0.700733778484772,2.21118411099643,26,"Reference Mismatch Repair"
