"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","54/858","219/7232",0.246575342465753,2.07835999616822,5.94525794004053,7.33055706610312e-08,2.40442271768182e-05,2.40442271768182e-05,"ITGA7/LAMA1/SYNE1/FBLN1/ANK2/MYL3/SGCB/CAPN3/CSRP1/SGCG/SYNPO2/FLNC/FHL1/MYL7/SPTBN1/DAAM2/AMPD1/TMOD1/SYNE3/LMOD1/COL4A6/DMD/ITGA9/ATP1A2/VIM/MYH11/MYOZ2/PDLIM4/DES/LAMA2/MYH3/MYL9/TLN2/ITGA1/DIAPH2/PDLIM3/MYOM2/ACTG2/TNNT3/ATP1B2/MYOM1/SSPN/FBLN2/SGCA/LDB3/COL4A3/FMNL2/COL6A6/MYOM3/MYH2/ACTC1/MYH1/DCN/TMOD2",54
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","20/858","49/7232",0.408163265306122,3.44036915465487,6.28836046984797,2.38481656371731e-07,3.91109916449639e-05,3.91109916449639e-05,"PTGS2/PLAAT3/PTGER3/IRS2/ADCY5/FABP4/G0S2/GNAI1/LIPE/PNPLA2/PIK3R1/AQP7/NPR1/MGLL/ADCY4/PDE3B/ADRB2/CIDEC/PLIN1/ADRB1",20
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","39/858","152/7232",0.256578947368421,2.16267942583732,5.31498383181531,1.70595675565082e-06,0.000186517938617823,0.000186517938617823,"AVPR1A/PTH1R/SLCO1C1/GHR/ADIPOQ/NOS1/IRS2/MPL/ADRA2A/CRHR2/ADCY5/IGF1/SMAD9/ADRA1A/DRD2/AVPR2/RAPGEF3/ADRA2B/OXTR/GNG7/LEP/GNAI1/THRB/NPR2/PENK/PIK3R1/CALCR/NPR3/GNG2/STAT5A/NPR1/GNG11/LEPR/ADCY4/ADRB2/SSTR1/STAT5B/ESR2/ADRB1",39
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","17/858","44/7232",0.386363636363636,3.25662216571307,5.50830461058731,4.73464258155585e-06,0.00038824069168758,0.00038824069168758,"ADH6/ADH1B/ADH4/RDH5/ALDH1A2/UGT2B28/AOX1/ALDH1A3/ALDH1A1/CYP26B1/RETSAT/CYP1A1/DHRS9/ADH1A/DHRS3/ADH1C/CYP3A4",17
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","22/858","68/7232",0.323529411764706,2.72699849170437,5.24934868098736,6.19147068185892e-06,0.000406160476729945,0.000406160476729945,"ACSL4/SORBS1/ADIPOQ/ME1/PCK1/CD36/FABP4/PPARA/LPL/HMGCS2/PPARG/PLIN4/ACSL1/SLC27A6/AQP7/ANGPTL4/ACADL/RXRG/PLTP/EHHADH/PLIN1/SCD",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","52/858","239/7232",0.217573221757322,1.8339038924813,4.80972208258482,7.50056435253889e-06,0.000410030851272126,0.000410030851272126,"S1PR1/NMB/ADM/AVPR1A/NMUR1/PTH1R/PTGER4/GRIN2B/CNR1/PTGER3/CHRNA2/GHR/GLRA3/SCTR/ADRA2A/GRIK1/LPAR6/CRHR2/ADRA1A/GABRA2/DRD2/AVPR2/NPY2R/UTS2B/ADRA2B/OXTR/TACR1/GLP2R/P2RY14/LEP/CALCRL/THRB/HTR2A/PENK/EDNRB/CALCR/EDN1/CTSG/ADCYAP1R1/NR3C1/PTGFR/C3/LEPR/SPX/ADRB2/P2RX6/SSTR1/TAC1/GRIA4/GABRE/EDN3/ADRB1",52
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","44/858","195/7232",0.225641025641026,1.90190664036818,4.68405417879175,1.45403715997571e-05,0.000639591309483576,0.000639591309483576,"ITGA7/RELN/LAMA1/EGFR/LAMB3/KDR/LAMA4/MYL7/PAK3/CAV1/COL4A6/IGF1/MET/ITGA9/EMP1/VWF/PIP5K1B/VEGFD/MAPK10/LAMA2/PRKCA/PDGFA/MYL9/TNXB/TLN2/MYLK/LAMC2/LAMC3/JUN/ITGA1/LAMA3/EGF/PPP1R12B/PIK3R1/SHC3/PARVA/PDGFRA/PAK5/CAV2/LAMC1/PDGFD/COL4A3/COL6A6/FLT4",44
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","36/858","148/7232",0.243243243243243,2.05027405027405,4.73621066938956,1.55997880361848e-05,0.000639591309483576,0.000639591309483576,"ITGA7/RELN/LAMA1/EGFR/LAMB3/FERMT2/KDR/LAMA4/ARHGEF6/COL4A6/IGF1/MET/LIMS2/ITGA9/ICAM2/VWF/VEGFD/LAMA2/PDGFA/TNXB/TLN2/LAMC2/LAMC3/ITGA1/LAMA3/EGF/FREM1/PIK3R1/PARVA/PDGFRA/LAMC1/PDGFD/COL4A3/C3/COL6A6/FLT4",36
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","47/858","215/7232",0.218604651162791,1.84259771236515,4.6015120378687,1.80908402312241e-05,0.000659310621760167,0.000659310621760167,"EGFR/KDR/FGF2/RASA4B/PLAAT3/FGF1/PLA2G4A/GRIN2B/RRAS2/NGFR/FOXO4/PAK3/ETS2/RGL1/IGF1/MET/TEK/NTF4/VEGFD/ANGPT1/MAPK10/GNG7/RASA4/PRKCA/PDGFA/MRAS/RASGRF2/PLD1/RASA3/ANGPT4/EGF/PLA2G5/FGF17/KIT/PIK3R1/GNG2/FGF7/SHC3/PDGFRA/PAK5/GNG11/PDGFD/FGF16/FLT4/PLA2G2A/EPHA2/NTRK2",47
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","21/858","69/7232",0.304347826086957,2.56531873923178,4.7931017595964,2.87129332346925e-05,0.000928928032254948,0.000928928032254948,"VSIG4/F8/F3/C4BPA/F10/CFH/VWF/SERPING1/CFD/MASP1/F13A1/PROS1/TFPI/A2M/C6/C7/CR1/MASP2/C3/CFI/THBD",21
