"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","47/1058","92/7232",0.510869565217391,3.49206871044629,9.95780281720705,1.21177987233097e-16,4.19275835826517e-14,4.19275835826517e-14,"C4B/C4A/H4C9/H4C12/H2AC13/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/FCGR1A/H2BC11/H2AC20/H4C14/FCGR3A/H2BC7/H2BC17/H2AC18/HLA-DQA2/IFNG/H4C5/C8G/H2AZ1/H2AC6/H4C8/MACROH2A1/H2BC5/H3C8/H2BC8/H2AX/H2BC15/H2AC11/SNRPB/H4C4/H2AC8/H3C6/H3C10/HLA-DQB2/H4C11/CD80/H2BC13/H2AC19/H2BC18/H2AJ/H2BC12",47
"Human Diseases","Substance dependence","hsa05034","Alcoholism","53/1058","138/7232",0.384057971014493,2.62524314402345,7.97941395352808,3.55063847772026e-12,6.14260456645606e-10,6.14260456645606e-10,"H4C9/H4C12/H2AC13/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/TH/H2BC11/GNG5/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/GNGT1/SLC29A3/H4C5/GNG13/ADORA2A/H2AZ1/H2AC6/CREB3L4/PPP1CA/H4C8/GNG4/MACROH2A1/H2BC5/CREB3L1/CALML5/GRIN1/H3C8/H2BC8/GRIN2C/H2AX/H2BC15/H2AC11/H4C4/GRIN2D/H2AC8/GRIN3B/H3C6/H3C10/H4C11/HDAC11/H2BC13/H2AC19/H2BC18/H2AJ/H2BC12",53
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","50/1058","156/7232",0.320512820512821,2.19087780524454,6.22435408429907,2.08114842837286e-08,2.4002578540567e-06,2.4002578540567e-06,"MCM2/CDC25C/ANAPC11/CCNA2/MTBP/CDCA5/ESCO2/CDC7/SGO1/CDC6/PCNA/CCNE1/ORC1/CDKN2D/AURKB/CDC45/KNL1/E2F1/CCNE2/MAD2L1/PTTG1/TRIP13/CDK1/MCM4/PKMYT1/CDKN2A/PLK1/NDC80/GADD45G/BUB1/RAD21/E2F5/CHEK1/CDC25A/E2F2/SMC1B/CDT1/ESPL1/CCNB2/CCND1/TICRR/BUB1B/MCM6/CDC20/DBF4/CDC25B/TTK/ORC6/CCNB1/BUB3",50
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","47/1058","144/7232",0.326388888888889,2.23104389834068,6.17663066955254,2.94115264737536e-08,2.54409703997968e-06,2.54409703997968e-06,"H4C9/H4C12/H2AC13/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/FCGR1A/H2BC11/H2AC20/H4C14/FCGR3A/H2BC7/H2BC17/H2AC18/H4C5/GSDMD/ITGAL/H2AZ1/FGB/H2AC6/H4C8/MACROH2A1/H2BC5/FGG/H3C8/CLEC7A/H2BC8/H2AX/H2BC15/H2AC11/H4C4/H2AC8/AZU1/H3C6/H3C10/H4C11/HDAC11/H2BC13/H2AC19/CAMP/H2BC18/H2AJ/H2BC12",47
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","62/1058","239/7232",0.259414225941423,1.77323599433683,5.03196892838706,2.33177830394921e-06,0.000161359058633285,0.000161359058633285,"CHRNA5/GRIA2/CHRNA9/HTR1D/AGT/GABRA3/NTSR1/RXFP1/SSTR2/GABRD/P2RX5/KISS1/P2RX2/GRM8/HTR6/NPFFR2/PAQR6/GRIK4/UTS2/CHRNB4/EDN2/ADORA2A/NMU/RLN2/LPAR2/GRM4/TACR3/SCT/GRPR/P2RY10/ADM2/SLURP1/TRH/NPY1R/TMEM97/VGF/MCHR1/GABRQ/CGA/GRIN1/OPRD1/CNR2/PNOC/KISS1R/GHRH/OPRK1/GABBR2/UCN/GRIN2C/NPW/CHRNA6/PYY/GRIN2D/PRSS2/GZMA/GRIN3B/CHRNA1/GAL/P2RY6/F2RL2/PRLR/DRD4",62
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","57/1058","231/7232",0.246753246753247,1.6866913804532,4.39082622256728,2.96583188947285e-05,0.00171029638959601,0.00171029638959601,"CXCL10/TNFRSF18/TNFRSF4/CXCR3/IL21R/THPO/CCR4/TNFSF4/IL18/CCR3/CXCL13/AMH/CCL5/TNFRSF13C/CCL19/TNFRSF12A/CXCL17/IL9R/IFNG/CCL7/LTA/TNFRSF9/OSM/EPO/CSF3R/INHBA/CCL11/IL12B/BMP8B/GDF15/CXCL9/TNFSF13B/GDF9/CCR8/CCR7/IL24/LTB/IL11/IL27/IL19/IL2RG/RELT/IL2RB/CCL20/BMPR1B/CCL17/IL31RA/CD27/IL21/IL12RB2/RELL2/BMP8A/INHA/CXCR4/PRLR/IL20/CXCL11",57
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","26/1058","82/7232",0.317073170731707,2.16736594587118,4.40067835661304,6.40690985712476e-05,0.00316684401509309,0.00316684401509309,"COL8A1/ATP1A3/COL26A1/COL1A2/COL9A1/SLC1A1/SLC8A2/ATP1A4/COL10A1/COL9A3/COL1A1/COL3A1/COL11A1/KCNK5/COL2A1/COL22A1/SLC15A1/COL13A1/SLC7A8/COL6A5/PRSS2/COL12A1/CPB1/COL24A1/COL5A1/COL5A2",26
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","18/1058","49/7232",0.36734693877551,2.5110142355619,4.39311290296191,0.000104229431496924,0.00450792291224198,0.00450792291224198,"TELO2/FANCB/BLM/RAD51/CENPS/FAAP24/EME1/BRCA2/EME2/FANCD2/CENPX/RMI1/UBE2T/BRCA1/FANCA/FANCI/BRIP1/RMI2",18
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","38/1058","146/7232",0.26027397260274,1.77911282595748,3.9367234736311,0.000195205228662204,0.00750455656856919,0.00750455656856919,"S100A7A/KRT24/IVL/CLDN9/CLDN6/ABCA12/PCSK6/UGCG/S100A11/PADI3/ST14/PPP2R2C/S100A7/KRT1/S100A8/KRT31/KRT75/KRT6A/CLDN7/S100A9/KRT16/KRT19/CLDN14/KRT18/PRSS8/CASP14/PKP3/ALOXE3/S100A14/KRT37/EVPL/TMEM79/KRT8/KRT86/CLDN3/SLC27A4/S100A16/KRT81",38
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","44/1058","178/7232",0.247191011235955,1.68968373653916,3.85656770844473,0.000226115807796647,0.00782360694976397,0.00782360694976397,"MAPKAPK2/SCRIB/TRAF2/CCNA2/H4C9/H4C12/CCR4/H2BC4/CCR3/H2BC21/H2BC9/H2BC6/H2BC11/PMAIP1/CCNE1/H4C14/H2BC7/H2BC17/H4C5/CCNE2/CDK1/CHD4/CDKN2A/HPN/IRF7/CCR8/CREB3L4/CHEK1/H4C8/H2BC5/CREB3L1/CCND1/H2BC8/BAK1/H2BC15/H4C4/CDC20/BAX/H4C11/POLB/HDAC11/H2BC13/H2BC18/H2BC12",44
