"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","Extracellular matrix organization","75/1011","305/9724",0.245901639344262,2.36513109889575,8.25113599609669,4.27573886304017e-13,5.13943811337428e-10,5.13943811337428e-10,"ITGA7/NRXN1/LAMA1/LAMB3/FBLN1/SNTG2/SGCB/ADAMTS5/CAPN3/KDR/FGF2/ADAMTS8/SGCG/DST/LAMA4/JAM3/ADAMTS9/LTBP4/FBLN5/LRP4/KLK2/MMP19/P3H2/TLL1/COL4A6/EMILIN3/DMD/ITGA9/EMILIN2/ICAM2/JAM2/ADAMTS18/SPOCK3/VWF/COL25A1/UTRN/NCAM1/COL14A1/LAMA2/PRKCA/ACTA2/PDGFA/LOXL4/TNXB/CRTAP/DDR2/FMOD/MFAP4/LAMC2/LAMC3/ITGA1/PECAM1/A2M/LAMA3/EFEMP1/ACTG2/COLGALT2/SSPN/MFAP5/CTSG/COL17A1/FBLN2/ADAMTS1/LAMC1/BMP2/SGCA/CMA1/COL4A3/ELANE/CAPN11/COL6A6/ACTC1/PCOLCE2/DCN/ADAMTS3",75
"R-HSA-397014","Muscle contraction","54/1011","186/9724",0.290322580645161,2.79238058772853,8.40717153079392,8.71979406152229e-13,5.2405962309749e-10,5.2405962309749e-10,"SCN2B/CASQ2/MYL3/KCNA5/ALDH2/TRDN/SORBS1/MYL7/SLC8A3/NOS1/TMOD1/SCN11A/LMOD1/SCN4A/SCN3A/DMD/RYR3/MME/ATP2B4/ATP1A2/VIM/MYH11/ANXA1/ABCC9/SCN7A/CES1/KCNE1/CLIC2/DES/ACTA2/MYH3/SCN3B/SCN5A/MYL9/NPR2/FXYD2/MYLK/ITGA1/TRPC1/SCN4B/ACTG2/SCN2A/TNNT3/ATP1B2/KCNIP2/CACNA1G/KCNJ2/NPR1/KCNIP1/PLN/ACTC1/KAT2B/TMOD2/SCN9A",54
"R-HSA-500792","GPCR ligand binding","76/1011","322/9724",0.236024844720497,2.27013411479932,7.89512948436054,2.75991441914923e-12,1.10580571060579e-09,1.10580571060579e-09,"S1PR1/NMB/ADM/CX3CL1/FZD4/AVPR1A/CCL23/NMUR1/PTCH2/PTH1R/PTGER4/CNR1/CX3CR1/CCL2/PTGER3/CXCL12/HCAR2/CCL13/PLPPR1/SCTR/ADRA2A/LPAR6/FZD5/GPR17/CRHR2/ACKR1/ACKR4/ADRA1A/CRHBP/DRD2/AVPR2/NPY2R/ANXA1/CCL16/UTS2B/ADRA2B/OXTR/GNG7/PTCH1/WNT10B/ACKR3/TACR1/OXGR1/GLP2R/P2RY14/CALCRL/HTR2A/CCL21/CXCR2/PENK/WNT11/PTGDR2/FFAR4/CXCL2/P2RY12/EDNRB/CALCR/PLPPR4/FZD7/CCL28/SAA1/EDN1/GNG2/HCAR3/CXCL3/GPBAR1/ADCYAP1R1/GNG11/PTGFR/C3/ADRB2/PROKR1/SSTR1/TAC1/EDN3/ADRB1",76
"R-HSA-388396","GPCR downstream signalling","99/1011","484/9724",0.204545454545455,1.9673590504451,7.43646020221697,1.30071554922687e-11,3.90865022542675e-09,3.90865022542675e-09,"RPS6KA3/EGFR/NMB/ADM/CX3CL1/AVPR1A/CCL23/NMUR1/PLA2G4A/PTH1R/PTGER4/CNR1/CX3CR1/PTGER3/CXCL12/HCAR2/CCL13/ARHGEF6/SCTR/ADRA2A/ARHGEF4/PDE2A/LPAR6/GPR17/CRHR2/ADCY5/ABHD6/ADRA1A/ITSN1/PDE7B/AVPR2/PDE8B/NPY2R/KALRN/ANXA1/CCL16/PPP2R1B/UTS2B/ADRA2B/OXTR/GNG7/ACKR3/TACR1/OXGR1/GLP2R/P2RY14/PRKCA/RGS6/CALCRL/ARHGEF40/GNAI1/HTR2A/ARHGEF15/RASGRF2/CCL21/CXCR2/GPR15/PDE1B/PRKAR2B/PENK/PTGDR2/RGS2/FFAR4/CXCL2/DGKB/P2RY12/TRPC6/EDNRB/PIK3R1/CALCR/CCL28/SAA1/EDN1/GNG2/DGKI/PDE1C/PDE11A/GRK5/GNAL/MGLL/HCAR3/GRK3/CXCL3/GPBAR1/ADCYAP1R1/PDE1A/GNG11/PTGFR/HBEGF/C3/ADCY4/PDE3B/ADRB2/PROKR1/FGD4/SSTR1/TAC1/EDN3/ADRB1",99
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","57/1011","230/9724",0.247826086956522,2.38364082053929,7.23360074093102,2.20795860954779e-10,5.30793249735289e-08,5.30793249735289e-08,"S1PR1/NMB/CX3CL1/AVPR1A/CCL23/NMUR1/PTGER4/CNR1/CX3CR1/CCL2/PTGER3/CXCL12/HCAR2/CCL13/PLPPR1/ADRA2A/LPAR6/GPR17/ACKR1/ACKR4/ADRA1A/DRD2/AVPR2/NPY2R/ANXA1/CCL16/UTS2B/ADRA2B/OXTR/ACKR3/TACR1/OXGR1/P2RY14/HTR2A/CCL21/CXCR2/PENK/PTGDR2/FFAR4/CXCL2/P2RY12/EDNRB/PLPPR4/CCL28/SAA1/EDN1/HCAR3/CXCL3/GPBAR1/PTGFR/C3/ADRB2/PROKR1/SSTR1/TAC1/EDN3/ADRB1",57
"R-HSA-9913351","Formation of the dystrophin-glycoprotein complex (DGC)","18/1011","35/9724",0.514285714285714,4.94650275540483,7.96707339878713,1.41435400328602e-09,2.83342251991634e-07,2.83342251991634e-07,"LAMA1/LAMB3/SNTG2/SGCB/SGCG/LAMA4/DMD/UTRN/LAMA2/ACTA2/LAMC2/LAMC3/LAMA3/ACTG2/SSPN/LAMC1/SGCA/ACTC1",18
"R-HSA-9734767","Developmental Cell Lineages","35/1011","127/9724",0.275590551181102,2.65068498485167,6.37808316156934,4.09280609723177e-08,7.02793275553228e-06,7.02793275553228e-06,"CPA1/LAMA1/EGFR/LAMB3/ANXA3/FGF2/KRT15/KRT14/LAMA4/ABCG2/TP63/YAP1/ELF5/KRT17/MME/CLDN10/VIM/MYH11/ANXA1/SOX17/LAMA2/ACTA2/LAMC2/LAMC3/ALDH1A3/LAMA3/EGF/CNN1/KIT/ALDH1A1/FGF7/LAMC1/KRT5/AQP1/RNASE1",35
"R-HSA-9927432","Developmental Lineage of Mammary Gland Myoepithelial Cells","12/1011","20/9724",0.6,5.77091988130564,7.27500993946401,8.54493445481275e-08,1.28387640183562e-05,1.28387640183562e-05,"EGFR/KRT14/TP63/MME/VIM/MYH11/ACTA2/ALDH1A3/EGF/CNN1/ALDH1A1/KRT5",12
"R-HSA-5576891","Cardiac conduction","33/1011","120/9724",0.275,2.64500494559842,6.17623225255675,1.05371917705833e-07,1.40730050091569e-05,1.40730050091569e-05,"SCN2B/CASQ2/KCNA5/TRDN/SLC8A3/NOS1/SCN11A/SCN4A/SCN3A/RYR3/MME/ATP2B4/ATP1A2/ABCC9/SCN7A/CES1/KCNE1/CLIC2/SCN3B/SCN5A/NPR2/FXYD2/TRPC1/SCN4B/SCN2A/ATP1B2/KCNIP2/KCNJ2/NPR1/KCNIP1/PLN/KAT2B/SCN9A",33
"R-HSA-3000171","Non-integrin membrane-ECM interactions","25/1011","78/9724",0.320512820512821,3.0827563468513,6.29077283578942,1.5014500359973e-07,1.70799761524367e-05,1.70799761524367e-05,"NRXN1/LAMA1/LAMB3/SNTG2/SGCB/FGF2/SGCG/LAMA4/COL4A6/DMD/UTRN/LAMA2/PRKCA/ACTA2/PDGFA/DDR2/LAMC2/LAMC3/LAMA3/ACTG2/SSPN/LAMC1/SGCA/COL4A3/ACTC1",25
