"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","44/1376","55/9724",0.8,5.65348837209302,14.0503562920573,5.78231892557697e-28,4.29626296170369e-25,4.29626296170369e-25,"H4C9/H4C12/H2BC4/H2BC21/H2BC9/CENPS/H2BC6/CENPO/H2BC11/H2AC20/H4C14/CENPA/H2BC7/H2BC17/H2AC18/KNL1/CENPK/H4C5/CENPP/CENPH/CENPU/HJURP/RUVBL1/CENPX/H2AC6/H4C8/H2BC5/CENPI/OIP5/MIS18A/CENPN/H2BC8/CENPW/H2AX/H2BC15/H4C4/H2AC8/CENPM/CENPL/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",44
"R-HSA-774815","Nucleosome assembly","44/1376","55/9724",0.8,5.65348837209302,14.0503562920573,5.78231892557697e-28,4.29626296170369e-25,4.29626296170369e-25,"H4C9/H4C12/H2BC4/H2BC21/H2BC9/CENPS/H2BC6/CENPO/H2BC11/H2AC20/H4C14/CENPA/H2BC7/H2BC17/H2AC18/KNL1/CENPK/H4C5/CENPP/CENPH/CENPU/HJURP/RUVBL1/CENPX/H2AC6/H4C8/H2BC5/CENPI/OIP5/MIS18A/CENPN/H2BC8/CENPW/H2AX/H2BC15/H4C4/H2AC8/CENPM/CENPL/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",44
"R-HSA-5334118","DNA methylation","35/1376","39/9724",0.897435897435897,6.34205426356589,13.5709086083916,6.00331654998867e-26,2.97364279776106e-23,2.97364279776106e-23,"DNMT3B/H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/H2AC6/H4C8/H2BC5/DNMT1/UHRF1/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",35
"R-HSA-9970672","FXIIa activates plasma kallikrein-kinin system","35/1376","42/9724",0.833333333333333,5.8890503875969,12.8909451018198,1.27643510248535e-23,4.74195640573309e-21,4.74195640573309e-21,"H4C9/H4C12/F12/H2BC4/H3C3/H3C2/H2BC21/PLAUR/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/KRT1/H4C5/H2AZ1/H2AC6/H4C8/H2BC5/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/H2AC19/H2BC12",35
"R-HSA-9940465","ChAHP complex assembly","33/1376","38/9724",0.868421052631579,6.13701040391677,12.880957606046,1.65255060146179e-23,4.91138038754445e-21,4.91138038754445e-21,"H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/CHD4/H2AC6/H4C8/H2BC5/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",33
"R-HSA-2299718","Condensation of Prophase Chromosomes","37/1376","48/9724",0.770833333333333,5.44737160852713,12.539905039251,1.14766455264421e-22,2.84238254204883e-20,2.84238254204883e-20,"H4C9/H4C12/NCAPG2/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/CDK1/SMC4/PLK1/H2AC6/H4C8/H2BC5/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/CCNB1/H2AC19/H2AJ/H2BC12",37
"R-HSA-73728","RNA Polymerase I Promoter Opening","32/1376","38/9724",0.842105263157895,5.95104039167687,12.414641275086,5.67451887801782e-22,1.20461929324778e-19,1.20461929324778e-19,"H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/H2AC6/H4C8/H2BC5/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",32
"R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)","34/1376","43/9724",0.790697674418605,5.58775013520822,12.2402986441684,1.44342908544441e-21,2.68116952621298e-19,2.68116952621298e-19,"H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/KDM5B/H2AC6/H4C8/H2BC5/UHRF1/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",34
"R-HSA-9710421","Defective pyroptosis","36/1376","48/9724",0.75,5.30014534883721,12.1247826977187,2.21459729562372e-21,3.65654620144095e-19,3.65654620144095e-19,"DNMT3B/H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/H2AC6/H4C8/H2BC5/DNMT1/H3C8/H2BC8/EZH2/H2AX/H2BC15/POLA2/H4C4/H2AC8/H3C6/H3C10/H4C11/H2BC13/H2AC19/H2AJ/H2BC12",36
"R-HSA-68616","Assembly of the ORC complex at the origin of replication","34/1376","44/9724",0.772727272727273,5.46075581395349,12.0396884652074,5.49687895275991e-21,8.16836212380123e-19,8.16836212380123e-19,"H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/ORC1/H2AC20/H4C14/H2BC7/H2BC17/H2AC18/H4C5/H2AC6/H4C8/H2BC5/H3C8/H2BC8/H2AX/H2BC15/H4C4/H2AC8/H3C6/H3C10/H4C11/ORC6/H2BC13/H2AC19/H2AJ/H2BC12",34
